date,RETAIL_4H_SUM,RETAIL_4G_SUM,RETAIL_4J_SUM,RETAIL_4I_SUM,RETAIL_4Z_SUM,RETAIL_4L_SUM,RETAIL_4A_SUM,SERVICES_6Z_SUM,SERVICES_6E_SUM,SERVICES_6F_SUM,SERVICES_6C_SUM,SERVICES_6D_SUM,SERVICES_6A_SUM,SERVICES_6B_SUM,TPLUSE_2B_SUM,TPLUSE_2D_SUM,TPLUSE_2A_SUM,TPLUSE_2C_SUM,TPLUSE_2E_SUM,TPLUSE_2Z_SUM,CASH_MI_SUM,CASH_8B_SUM,RETAIL_4K_SUM,RETAIL_4C_SUM,RETAIL_4B_SUM,RETAIL_4F_SUM,RETAIL_4E_SUM,RETAIL_4D_SUM
2016-01-31,28370046.95,3662649.23,6269182.35,8410694.05,10553682.29,3935865.26,1985435.32,74374183.49,63949736.46,332014.94,3506534.15,25708491.23,5464583.56,5128655.84,1445243.76,19215563.13,1758164.26,5550516.71,3285516.22,1197214.92,147976142.1,4203004.66,22686266.61,14694389.41,307133.04,28784474.98,9317088.54,7918045.84
2016-02-01,61847862.65,4234008.65,11173669.59,13662658.79,21137787.83,4597341.84,2648627.07,123624995.7,44515861.68,534443.03,8426377.66,48836478.91,21168120.54,8642432.69,6291595.34,13351176.16,4134566.89,5004666.48,21556411.97,2254441.08,188806491.8,3707608.46,21082698.24,22137105.39,698995.66,30110328.32,14962474.31,9139421.52
2016-02-02,67394800.98,4001158.28,8254019.99,8220310.99,15330123.28,3692884.93,3555727.76,68673382.33,15776038.09,456936.11,7930421.77,11337673.87,16213917.72,10794710.73,2745594.67,12254482.07,4071829.74,3607250.76,19605393.6,5479894.79,146120618.9,3199636.85,15754521.76,19341655.6,820769.02,27482714.68,12905419.24,7402451.23
2016-02-03,92648583.95,6132696.38,10154952.42,15610103.79,22196368.34,4803556.18,3792758.67,106643997.4,30725828.16,802638.78,7339241.97,60303234.11,18264291.56,6760451.35,6471077.34,15459979.6,4445405.72,4063788.92,23395506.19,2098384.9,201920229.4,8160631.17,23092096.44,22752933.49,1146757.32,31852026.3,14588848.58,12376053.16
2016-02-04,115419337.2,4374855.83,10196978.26,14493408.43,21564387.51,5158436.46,4969455.98,74847695.46,20914999.03,644650.95,7230889.46,54562169.74,44042928.88,6848043.84,3687878.19,15910229.61,4409862.93,4079196.33,22057826.47,2054703.08,202755920.7,5041589.64,21180286.73,23058594.92,1578924.81,30991265.45,13818376.16,10743318.77
2016-02-05,132838474.6,5756756.57,10331189.05,14952202.7,23593987.83,5898033.56,5593658.22,73989380.66,21869012.87,669202.81,6392922.01,69641445.58,23345697.63,6886816.19,4445450.51,19107211.51,4937239.14,7268415.77,24768919,2186088.49,227136331,4539002.34,20973829.07,23239214.86,1869503.59,34362050.88,13126022.63,11134480.23
2016-02-07,127765479.1,5048985.64,11003854.38,9977020.12,20880436.35,8464068.74,3555063.72,27618367.52,6711569.6,296587.17,3293928.24,50052640.76,10272969.79,8382452.14,1853081.32,33102945.63,4098036.28,10079118.44,8301236.08,2267811.86,223511982.8,6087102.91,14731689.32,31604237.98,1945959.02,45822538.56,19333309.08,7319191.09
2016-02-08,61737620.17,4461850.97,10538186.95,13683844.7,18904139.26,4160496.38,2807036.5,75855776.58,18100601.97,626433.11,8109023.13,53548315.89,74243583.46,6928481.46,4493190.96,12503303.53,4284672.79,5105297.9,22786847.8,2452316.73,160716078.2,4142616.73,21786257.07,18046143,684264.46,30471301.31,12805940.95,10388419.81
2016-02-09,78719646.09,5593068.37,11989411.39,18708496.62,24797903.7,5168472.68,3671298.21,81093639.59,26406114.65,976070.06,8276413.32,67049798.03,24627292.62,6295054.76,4435286.35,15862247.69,4341592.86,5191941.55,24412104.22,2511862.56,200034551,4831446.29,24912059.01,22976612.84,799755.55,32867687.04,14907904.98,12797787.05
2016-02-10,81999019.12,3987230.16,7822304.52,8757298.89,17618255.27,4099069.64,3927586.81,49189489.25,12962420.85,417830.45,5096502.61,43948906.48,16256571.95,5555099.41,2147690.47,14909937.42,4752353.1,4006964.42,20030179.16,1944392.73,149795433.9,5075878.4,14744102.39,20702540.84,1018479.83,26889444.11,12442223.15,7191068.44
2016-02-11,116596969.7,5507410.82,10804582.94,14653962.74,26578480.19,5610932.01,4904112.81,100742380.6,24750681.78,695579.3,9567711.98,104536935.6,21977205.18,7276594.58,4746795.53,16509180.89,5435751.98,4670440.11,26131269.7,2951198.52,216763461.8,6550444.72,20915078.28,25276729.3,1576873.47,32246458.1,15607590.36,10966242.17
2016-02-12,141010227.6,4813467.64,11793886.39,13708764.79,26849027.38,6077192.53,5484877.33,93505276.13,25083940.02,698634.24,8306153.26,69514730.7,21824098.4,7341480.03,3915248.7,20116854.55,5045796.11,7548833.42,24232823.7,2336021.34,247505799.2,5843550.29,28257012.68,25916045.25,1841400.92,34878794.84,14674792.87,11494454.36
2016-02-14,140969170.8,5485632.11,14779966.12,17652571.27,32961127.58,10403942.3,4026558,50813089.53,13771715.64,552242.38,6063709.18,55491165.2,17001834.8,9902507.26,2978571.27,41596565.8,4231009.66,12340143.78,9449958.76,3465695,287656793.7,7964533.95,22185898.48,39788545.53,1896958.76,58196047.7,22669392.21,11639313.95
2016-02-15,63602844.64,5420065.07,11303670.48,14017813.96,32701029.03,5612238.84,2697506.17,100984047.8,32381739.27,644551.3,9992280.51,81741238.93,22407967.63,8261060.83,4764947.65,17344082.95,5219283.67,5849206.17,23483377.61,2238255.13,202211844.4,4262426.23,32013139.59,24083144.44,667382.05,31688471.79,16920217.72,12845210.35
2016-02-16,73407087.73,3942247.38,8897453.88,9964965.64,19803814.63,4735939.72,3692609.77,131527874.9,44908993.03,644967.11,8089967.59,19965434.26,15780696.84,6685173.63,4591256.85,13735857.91,4650783.64,4249057.63,23571489.03,2070747.13,159447642.7,6228615.18,16433502.62,21202953.92,803503.25,28360209.65,13405122.92,8093630.52
2016-02-17,93646009.79,3964408.69,11596043.69,16538691.7,24257475.13,5378378.06,4138642.57,149809934.7,37063139.82,888183.99,16809540.66,100771616,24699926.27,7113915.78,3202592.59,16356991.18,5368273.4,5191992.91,24468705.74,2423126.04,203679469.2,6595486.1,20086898.18,22442156.11,1016541.41,31790630.56,14327992.66,10139375.31
2016-02-18,114594510.3,4048862.72,11385286.08,14131883.97,23276494.64,5532381.34,4822777.22,84657997.18,26360063.52,711603.01,6937972.82,93441410.6,21987741.17,7005396.17,3515914.52,16902296.52,4661274.74,4479028.51,25952170.33,2168559.68,205011526.5,4186319.64,19542798.9,24007680.87,1282424.86,32492387.31,13075490.88,11160460.33
2016-02-19,134712350.3,4023842.07,11287839.28,16583177.62,22348090.12,5843076.63,5293449.41,81979176.61,26306199.57,699101.15,6689047.33,50987303.83,20719909.83,7034099.46,3411926.83,20180706.69,5118961.28,9398754.83,23798896.15,2900155.77,252969744.1,4862909.63,23877169.17,23729984.01,1937448.05,32357604.19,13626770.44,12091671.28
2016-02-20,107802037.2,2378547.96,8886182.25,9692068.09,17656029.35,5955346.19,1909646.35,21051168.12,14184867.85,262491.12,3119724.97,31815536.65,11024959.98,4488635.15,1199756.04,20691492.07,2162682.54,6020399.37,6257082.58,1465240.5,170265842.3,3218834.8,11969771.04,22052123.77,1665263.82,26042096.34,12680074.72,5520145.29
2016-02-21,22617948.27,2097136.71,4494774.38,1218815.81,5398145.76,3175597.25,1126132.97,10836111.06,3345583.86,17558,2825964.31,7621040.94,1723900.06,4006954.85,442615.8,16669798.14,2108094.99,6032946.73,2081395.02,980381.2,100821221.7,3155281,3422478.93,11735015.38,328503.09,26365698.77,8215654.06,1757769.64
2016-02-22,66080793.19,4375085.59,12037549.78,14935091.02,25315078.76,4938446.18,4231374.7,135370599.9,119004181,812222.98,11550976.04,67327812.44,22177976.44,6848543.6,4610111.39,13579359.05,5397226.93,6780205.36,25716206.73,22291798.55,195333106.2,7068561.07,21265197.64,19402580.79,696895.42,30826499.94,13378370.76,10543241.51
2016-02-23,73551749.56,4069461.1,11507862.02,13193074.92,20884046.74,4799988.99,3704794.72,71038237.06,31537708.84,770912.6,8085581.56,35305176.35,22568369.89,6480780.94,4136687.22,13511159.92,4886064.49,4084476.25,24414431.16,2370116.91,172739783.9,4946012.36,22176472.44,18470184.86,823571.79,29369508.71,13295048.68,10897020.31
2016-02-24,91780824.15,5330651.41,14288875.35,13946270.37,22359198.95,5066086.35,4068245.6,74346167.18,108270813.9,654703.11,8913086.84,120023415.7,20377807.2,9809434.03,2920212.81,15476911.92,4764067.98,4849969.53,23477425.1,2178575.57,189659558.7,5531666.12,19690410.48,21298133.74,1154816.19,30898690.3,13677505.05,10265292.32
2016-02-25,109746876,11868480.61,11948491.72,20015254.19,32223739.92,6475711.81,4780898.87,81834599.34,125657194.6,1001629.49,6587319.55,71829072.3,21037343.44,7764287.66,2839255.94,16688208.27,4784185.67,5020674.84,24812022.41,2296262.26,216222750.7,4298692.82,20786574.66,22989840.57,1600527.97,31209489.37,12897979.13,11173084.23
2016-02-26,128554312.6,5176752.06,10394739.02,14220543.17,24692370.71,5948238.14,5260914.79,86232530.19,136985925.1,674539.54,6192200.52,195802723.2,46943519.02,6825017.13,3453149.29,18818235.59,3475947.47,8749548.66,24915183.72,2223393.04,396536020.4,32223221.75,27451522.16,22378206.21,1827072.59,14814045.07,13093553.63,14389034.59
2016-02-27,111007413.1,6959512.08,11682029.75,10352469.22,23681347.91,6681396.12,1889008.04,19891333.85,118609977.9,358840.46,1805877.5,54663239.1,11339211.92,5882119.27,1983495.31,22203435.2,3459481.33,5721808.76,6206745.61,3692497.73,226423755.9,3289799.8,12153724.67,23006696.37,1661505.43,44047919.63,11910424.8,6452274.16
2016-02-28,30639785.63,2595203.16,7026629.65,6441097.38,10356381.12,3957758.6,1959562.61,39769713.16,51971749.03,676039.59,3623151.71,216579089,145802926.3,5139736.48,980394.8,20240536.89,1996032.05,6270297.77,4675019.68,27527973.13,212334488.8,4251579.52,9794050.51,13496766.69,160933.83,29857650.07,8300311.77,4452312.3
2016-02-29,62464324.7,4930826.6,13509749.11,15646953.22,26160929.84,5393815.79,1121892.25,104290647.9,143576554,700268.55,14833563.27,60491672.14,22831686.48,10461003.36,4475338.58,13344193.18,5248005.52,5958013.85,25487647.87,2231068.62,245071062.5,4411057.22,32289453.39,21336143.04,890395.5,29348273.81,13549929.72,12142609.59
2016-03-01,73254691.16,5984441.92,12042447.92,14654637.13,21388578.38,5129028.68,4948730.14,78562700.45,39604488.45,790689.61,7653854.98,44948516.27,22039680.28,7991855.71,4358644.35,15120257.69,5013259.94,4943342.31,27020292.48,2357955.95,200380675.8,3443746.52,20802841.57,21855563.67,796221.52,28199692.28,12841224.87,11357150.55
2016-03-02,82375754.61,4236951.87,9335211.45,8525320.22,15918341.89,4389213.56,3600653.86,64106972.13,16924165.85,382252.91,6071623.8,21320740.96,16184842.51,10858796.18,2697839.24,13938799.78,5004919.8,4066508.78,24929188.67,5534731.44,152565329.7,3828721.2,14812418.49,19456076.55,1097511.32,29794788.69,11117032.18,8241786.76
2016-03-03,116455048.6,5743530.64,11635350.61,15763102.15,24467929.57,5448941.31,4720846.87,74434163.16,23045994.49,692231.52,6818719.15,61918496.79,20818566.73,7191825.06,6605117.63,16482281.17,5607170.38,5620895.14,31216162.88,2215520.62,208823135.7,6362214.38,23483937.72,22611800.66,1622819.61,32106851.1,12688202.3,12289622.79
2016-03-04,136359910.6,4215456.51,11143178.26,15773133.57,23262257.76,6705932.96,5744174.45,74219528.36,25145046.18,822084.98,6138759.46,53593963.73,43885071.1,7006882.56,5345414.76,19892607.67,4710823.89,8169612.06,29430266.49,2563458.28,232590723.7,5372791,24100542.86,22013774.24,1914220.45,33050259.69,12628002.46,11048642.19
2016-03-06,134393304.5,5685719.97,14777849.26,10800654.51,24154155.64,10274848.42,4175021.19,30202910.95,6330597.83,307413,3520330.46,20377506.15,11330594.97,8851448.18,1929339.61,37652082.53,4893294.35,11885021.42,10070555.7,2177902.86,244702207.7,6073196.17,16539233.15,36244745.18,2051455.98,51092696.42,19643917.96,7349197.04
2016-03-07,64889273.71,4231607.38,12380212.4,14680150.33,24216877.27,5880120.01,2719467.57,93859357.14,25767939.86,873790.06,6485862.62,80205739.39,76434273.1,7421473.87,4826328.99,14652045.11,5586599.75,5782686.37,28887510.88,1975575.15,183062552,4420223.3,21576866.45,22271327.94,724664.68,34124578.03,13835540.96,11066512.62
2016-03-08,73061187.56,4456557.71,11534632.97,13876377.14,25981104.91,5443733.98,1400447.24,74717103.49,20753951.84,727355.71,7127555.53,59987158.59,21275771.71,7350091.85,3273090.5,15127905.78,5066825.44,4439737.58,27535839.22,1968561.55,179627975.9,3838681.75,21747913.94,22835490.41,448878.66,29246497.38,14132054.2,11873491.82
2016-03-09,93884069.94,4532232.28,15609402.26,20895019.19,34075392.17,6619646.29,5846026.01,86215956.19,26481099.64,1262584.7,7041464.13,73127658.27,27144397.76,7137686.25,5719080.25,20455924.89,5570641.42,4924731.76,27882134.99,2318491.56,231487919.9,5304643,23697203.86,27475438.83,1411097.47,32161126.29,15440647.39,14416056.87
2016-03-10,102580168.9,3579431.26,8907854.94,8854912.78,17011675.02,4592407.85,4344136.23,50801326.12,14793896.93,358456.29,4588384.23,61600764.3,14403942.25,5452015.34,2318389.4,13862960.96,4789490.78,5122756.19,24246541.65,1812583.03,153443888.2,2735059.38,16183427.03,20311345.49,1520809.05,26826852.41,10497732.83,7546751.29
2016-03-11,139486003.2,4991248.94,13371787.71,16231089.08,31297811.22,6784761.51,5832197.57,122036901.5,25875331.35,695489.19,9550078.73,90995505.34,20281642.95,7885007.1,4121226.81,20364237.84,4885825.07,9181794.85,31637993.85,2902669.4,245210816,7549249.14,27060006.5,27405261.98,1873933.46,33779356.06,14427188.79,11750991.46
